,city,coordinates,country,humidity,max_temp,pressure,wind_speed,cloudiness,lon,lat
109,Zhezkazgan,"{'lon': 67.7144, 'lat': 47.8043}",KZ,49,41.38,1021,7.56,100,67.7144,47.8043
110,São Gabriel da Cachoeira,"{'lon': -67.0892, 'lat': -0.1303}",BR,99,74.7,1011,1.16,98,-67.0892,-0.1303
111,São Paulo de Olivença,"{'lon': -68.8725, 'lat': -3.3783}",BR,86,77.81,1010,1.07,96,-68.8725,-3.3783
112,Mount Gambier,"{'lon': 140.7667, 'lat': -37.8333}",AU,62,55.31,1024,10.36,90,140.7667,-37.8333
113,Chacabuco,"{'lon': -60.4739, 'lat': -34.6417}",AR,42,62.8,1012,9.55,0,-60.4739,-34.6417
114,Samfya,"{'lon': 29.5565, 'lat': -11.3649}",ZM,40,76.01,1011,7.74,100,29.5565,-11.3649
115,Guerrero Negro,"{'lon': -114.0611, 'lat': 27.9769}",MX,75,65.91,1013,13.82,0,-114.0611,27.9769
116,Alpena,"{'lon': -83.4327, 'lat': 45.0617}",US,87,47.1,1018,3.44,1,-83.4327,45.0617
117,Provideniya,"{'lon': -173.3, 'lat': 64.3833}",RU,59,26.71,1001,8.95,0,-173.3,64.3833
118,Sørland,"{'lon': 12.6934, 'lat': 67.667}",NO,96,47.77,998,11.16,100,12.6934,67.667
119,Tarko-Sale,"{'lon': 77.785, 'lat': 64.9225}",RU,90,22.06,1003,14.09,36,77.785,64.9225
120,Luau,"{'lon': 22.2247, 'lat': -10.7073}",AO,94,64.81,1013,7.02,100,22.2247,-10.7073
121,Bow Island,"{'lon': -111.3684, 'lat': 49.8668}",CA,42,52.81,1002,10.36,100,-111.3684,49.8668
122,Minsk,"{'lon': 27.5667, 'lat': 53.9}",BY,88,28.15,1032,5.77,17,27.5667,53.9
123,Verkhnyaya Inta,"{'lon': 60.3094, 'lat': 65.9811}",RU,96,25.56,1005,9.66,100,60.3094,65.9811
124,Lüderitz,"{'lon': 15.1594, 'lat': -26.6481}",NA,72,58.95,1013,11.3,0,15.1594,-26.6481
125,Finote Selam,"{'lon': 37.2667, 'lat': 10.7}",ET,80,54.1,1018,3.71,9,37.2667,10.7
126,East London,"{'lon': 27.9116, 'lat': -33.0153}",ZA,74,57.96,1024,9.31,1,27.9116,-33.0153
127,Saint-Pierre,"{'lon': 55.4781, 'lat': -21.3393}",RE,77,73.04,1019,4.61,0,55.4781,-21.3393
128,Poum,"{'lon': 164.0167, 'lat': -20.2333}",NC,70,75.9,1014,7.67,9,164.0167,-20.2333
129,Touros,"{'lon': -35.4608, 'lat': -5.1989}",BR,72,79.7,1015,13.11,2,-35.4608,-5.1989
130,Airai,"{'lon': 125.4092, 'lat': -8.9266}",TL,39,78.66,1012,1.9,94,125.4092,-8.9266
131,Katsuura,"{'lon': 140.3, 'lat': 35.1333}",JP,55,64.18,1025,12.77,55,140.3,35.1333
132,Brae,"{'lon': -1.353, 'lat': 60.3964}",GB,85,51.71,997,15.79,99,-1.353,60.3964
133,San Patricio,"{'lon': -97.5169, 'lat': 28.017}",US,80,81.28,1011,10.45,0,-97.5169,28.017
134,Aldan,"{'lon': 125.3894, 'lat': 58.6031}",RU,88,33.12,1007,9.48,91,125.3894,58.6031
135,São Filipe,"{'lon': -24.4956, 'lat': 14.8961}",CV,70,77.77,1015,7.65,64,-24.4956,14.8961
